id,category,app,description,auth_methods,self_serve,api_surface,buildability_verdict,verdict_reason,evidence_url,confidence,needs_human_review
1,CRM and Sales,Salesforce,"A customer relationship management platform for sales, marketing, and customer service","OAuth2, API key",self-serve,Has a documented public REST and SOAP API,buildable-now,Salesforce provides extensive API documentation and developer resources,https://developer.salesforce.com/,high,True
2,CRM and Sales,HubSpot,"A customer relationship management platform that helps businesses manage sales, marketing, and customer service","OAuth2, API key",self-serve,Has a documented public REST API,buildable-now,Well-documented API and developer portal,https://developers.hubspot.com/,medium,True
3,CRM and Sales,Pipedrive,A sales management and CRM platform for businesses,"OAuth2, API key",self-serve,Pipedrive has a documented public REST API,buildable-now,Pipedrive provides a well-documented API for integration,https://pipedrive.com/en/api/v1,medium,True
4,CRM and Sales,Attio,A CRM and sales platform,"OAuth2, API key",self-serve,No clear information on public API,not-buildable,Lack of publicly available API documentation,,low,True
5,CRM and Sales,Twenty,Open-source CRM for managing customer relationships,"OAuth2, API key",self-serve,Twenty has a documented public REST API,buildable-now,Twenty is open-source with publicly available API documentation,https://twenty.com,medium,True
6,CRM and Sales,Podio,A project management and CRM platform,"OAuth2, API key",self-serve,Has a documented public REST API,buildable-now,Public API documentation available,https://podio.com,medium,True
7,CRM and Sales,Zoho CRM,"A customer relationship management platform for sales, marketing, and customer support teams","OAuth2, API key",self-serve,Zoho CRM has a documented public REST API,buildable-now,Zoho CRM provides a well-documented API and supports common authentication methods,https://www.zoho.com/crm/help/api/,medium,True
8,CRM and Sales,Close,A sales automation and CRM platform,"OAuth2, API key",self-serve,Public REST API available,buildable-now,Well-documented API and developer resources,https://developer.close.com/,high,True
9,CRM and Sales,Copper,Copper is a Google-recommended CRM for sales teams,"OAuth2, API key",self-serve,Copper has a documented public REST API,buildable-now,Copper provides API documentation and has a developer portal,https://developer.copper.com/,medium,True
10,CRM and Sales,DealCloud,DealCloud is a cloud-based CRM and sales management platform,"OAuth2, API key",self-serve,DealCloud has a documented public REST API,buildable-now,DealCloud provides API documentation and has a developer portal,https://api.docs.dealcloud.com,medium,True
11,Support and Helpdesk,Zendesk,A customer service and support ticketing platform,"OAuth2, API key, Basic Auth",self-serve,Zendesk has a documented public REST API,buildable-now,Zendesk provides a well-documented API and has a large developer community,https://developer.zendesk.com/,high,True
12,Support and Helpdesk,Intercom,"Customer messaging platform for sales, marketing, and support","OAuth2, API key",self-serve,Intercom has a documented public REST API,buildable-now,Intercom provides a public API for integration,https://developers.intercom.com/,medium,True
13,Support and Helpdesk,Freshdesk,A cloud-based customer support software and helpdesk solution,"OAuth2, API key",self-serve,Has a documented public REST API,buildable-now,Well-documented API and available developer resources,https://developers.freshdesk.com/api/,high,True
14,Support and Helpdesk,Front,Customer communication platform for teams,"OAuth2, API key",self-serve,Public REST API available,buildable-now,Well-documented API and developer portal,https://front.com/developers,medium,True
15,Support and Helpdesk,Pylon,Pylon is a customer support and helpdesk platform,"OAuth2, API key",self-serve,No documented public REST/GraphQL API found,buildable-with-friction,Lack of publicly available API documentation,,low,True
16,Support and Helpdesk,LiveAgent,A customer service and helpdesk platform,"OAuth2, API key",self-serve,LiveAgent has a documented public REST API,buildable-now,LiveAgent provides API documentation and has a developer portal,https://www.liveagent.com/,medium,True
17,Support and Helpdesk,Plain,A simple helpdesk and support platform,"OAuth2, API key",self-serve,No documented public REST/GraphQL API found,not-buildable,Lack of publicly available API documentation,,low,True
18,Support and Helpdesk,Help Scout,A customer support platform that provides help desk software and tools for teams,"OAuth2, API key",self-serve,Has a documented public API,buildable-now,Public API documentation available,https://developer.helpscout.com/,medium,True
19,Support and Helpdesk,Gorgias,Helpdesk software for e-commerce businesses,"OAuth2, API key",self-serve,Gorgias has a documented public API,buildable-now,Gorgias provides API documentation and has a developer portal,https://developers.gorgias.com/,medium,True
20,Support and Helpdesk,Gladly,Customer service platform for businesses to manage customer interactions,"OAuth2, API key",self-serve,Public REST API available for integration,buildable-now,Gladly provides a public API for integration,https://gladly.com/,medium,True
21,Communications and Messaging,Slack,A communication platform for teams and workplaces,"OAuth2, API key",self-serve,Slack has a documented public REST API,buildable-now,Slack provides a well-documented API for integration,https://api.slack.com/,high,True
22,Communications and Messaging,Twilio,"Cloud communication platform for building, scaling and operating real-time communication and customer engagement solutions","OAuth2, API key, Basic Auth",self-serve,Twilio has a well-documented public REST API and a Serverless API for real-time communication,buildable-now,Twilio provides extensive documentation and a free trial account for easy integration,https://www.twilio.com/docs,high,True
23,Communications and Messaging,Zoho Cliq,A team communication and messaging platform,"OAuth2, API key",self-serve,Has a documented public REST API,buildable-now,Zoho provides API documentation and developer tools,https://www.zoho.com/cliq/,medium,True
24,Communications and Messaging,Lark (Larksuite),A communication and collaboration platform,OAuth2,self-serve,Has a documented public API,buildable-now,Public API documentation available,https://open.larksuite.com/,medium,True
25,Communications and Messaging,Pumble,Team communication and messaging platform,"OAuth2, API key",self-serve,Pumble has a documented public REST API,buildable-now,Pumble provides API documentation and has a developer portal,https://pumble.com/developers,medium,True
26,Communications and Messaging,Discord,"A communication platform for communities, including text, voice, and video chat",OAuth2,self-serve,Discord has a documented public REST API,buildable-now,Discord provides a public API and OAuth2 for authentication,https://discord.com/developers/docs,high,True
27,Communications and Messaging,Telegram,A cloud-based messaging app for mobile and desktop devices,"OAuth2, API key, Bot Token",self-serve,"Telegram has a documented public REST API, known as the Telegram Bot API, as well as a MTProto API for custom clients",buildable-now,Telegram provides a well-documented API with extensive developer resources,https://core.telegram.org/,high,False
28,Communications and Messaging,WhatsApp Business,A messaging app for businesses to connect with customers,"OAuth2, API key",gated-approval,WhatsApp Business has a documented public REST API,buildable-now,WhatsApp provides a Business API for developers to build on top of,https://developers.facebook.com/docs/whatsapp,high,False
29,Communications and Messaging,Aircall,A cloud-based phone system for businesses to manage customer calls and communications,"OAuth2, API key",self-serve,Aircall has a documented public REST API for integrating its services,buildable-now,Aircall provides a public API and documentation for integration,https://developer.aircall.io/,medium,True
30,Communications and Messaging,Vonage,"Cloud-based communication platform for messaging, voice and video services","OAuth2, API key",self-serve,Public REST API available,buildable-now,Vonage provides a well-documented API for developers,https://developer.vonage.com/,high,True
31,"Marketing, Ads, Email and Social",Google Ads,A platform for creating and managing online advertisements,"OAuth2, API key",self-serve,Google Ads has a documented public REST API,buildable-now,Google Ads provides a public API for developers,https://developers.google.com/google-ads,high,True
32,"Marketing, Ads, Email and Social",Meta Ads,A platform for creating and managing ads on Meta's platforms,"OAuth2, API key",self-serve,Meta Ads has a documented public REST API,buildable-now,Well-documented API and developer resources available,https://developers.facebook.com/docs/marketing-apis,high,False
33,"Marketing, Ads, Email and Social",LinkedIn Ads,A platform for creating and managing advertisements on LinkedIn,OAuth2,self-serve,LinkedIn Ads has a documented public REST API,buildable-now,LinkedIn provides a Marketing API for developers to access ads data,https://learn.microsoft.com/en-us/linkedin/marketing/,high,True
34,"Marketing, Ads, Email and Social",GoHighLevel,"A marketing, sales, and customer service platform","OAuth2, API key",self-serve,Public REST API available at highlevel.stoplight.io,buildable-now,Public API documentation available,highlevel.stoplight.io,high,True
35,"Marketing, Ads, Email and Social",Mailchimp,Mailchimp is an all-in-one marketing platform for small businesses,"OAuth2, API key",self-serve,Mailchimp has a documented public REST API,buildable-now,Mailchimp provides a well-documented API and developer portal,https://mailchimp.com/developer,high,True
36,"Marketing, Ads, Email and Social",Klaviyo,Klaviyo is a marketing automation platform that helps businesses grow through targeted email and social media campaigns,"OAuth2, API key",self-serve,Klaviyo has a documented public API,buildable-now,Klaviyo provides API documentation and has a developer portal,https://developers.klaviyo.com,medium,True
37,"Marketing, Ads, Email and Social",systeme.io,A funnel builder for marketing automation,API key,self-serve,No documented public REST/GraphQL API found,buildable-with-friction,Lack of publicly available API documentation,,low,True
38,"Marketing, Ads, Email and Social",Pinterest,A social media platform for sharing images and videos,"OAuth2, API key",self-serve,Pinterest has a documented public REST API,buildable-now,Pinterest provides a public API for developers,https://developers.pinterest.com/,high,True
39,"Marketing, Ads, Email and Social",Threads (Meta),A platform for sharing ideas and trends,OAuth2,self-serve,Public API available,buildable-now,Public API documentation available,https://developers.facebook.com/docs/threads,medium,True
40,"Marketing, Ads, Email and Social",SendGrid,"Cloud-based email platform for sending, tracking and optimizing email campaigns","OAuth2, API key",self-serve,SendGrid has a documented public REST API for integrating with the service,buildable-now,SendGrid provides a well-documented API and supports common integration methods,https://sendgrid.com/docs/api-reference/,high,True
41,Ecommerce,Shopify,"A comprehensive e-commerce platform for businesses to design, set up, and manage their stores","OAuth2, API key",self-serve,Shopify has a documented public REST and GraphQL API,buildable-now,Shopify provides extensive documentation and APIs for developers to build custom integrations,https://shopify.dev/,high,True
42,Ecommerce,WooCommerce,A popular e-commerce plugin for WordPress,"OAuth2, API key",self-serve,Has a documented public REST API,buildable-now,Well-documented REST API available,https://woocommerce.com/document/woocommerce-rest-api,high,True
43,Ecommerce,BigCommerce,A comprehensive ecommerce platform for creating online stores,"OAuth2, API key, Basic Auth",self-serve,Public REST and GraphQL APIs are available,buildable-now,Well-documented APIs and developer resources are provided,https://developer.bigcommerce.com/,high,False
44,Ecommerce,Salesforce Commerce Cloud,A cloud-based e-commerce platform for businesses to create personalized shopping experiences,"OAuth2, API key",self-serve,Has a documented public REST API,buildable-now,Salesforce provides extensive documentation and APIs for developers,https://developer.salesforce.com/docs/commerce,high,False
45,Ecommerce,Magento (Adobe Commerce),A comprehensive ecommerce platform for building online stores,"OAuth2, API key",self-serve,Magento provides a documented public REST API and GraphQL API,buildable-now,Magento has well-documented APIs and developer resources,https://developer.adobe.com/commerce,high,True
46,Ecommerce,Squarespace,A website builder and ecommerce platform,"OAuth2, API key",self-serve,Has a documented public API,buildable-now,Well-documented API and developer resources,https://developers.squarespace.com/,high,True
47,Ecommerce,Ecwid,Ecwid is an e-commerce platform that allows users to create online stores and sell products,"OAuth2, API key",self-serve,Ecwid has a documented public REST API,buildable-now,Ecwid provides a public API and documentation,https://api-docs.ecwid.com/,high,True
48,Ecommerce,Gumroad,A platform for creators to sell digital products,"OAuth2, API key",self-serve,Has a documented public REST API,buildable-now,Gumroad has a publicly available API for developers,https://gumroad.com/api,high,True
49,Ecommerce,Amazon Selling Partner,A platform for sellers to manage their Amazon business,OAuth2,self-serve,Amazon Selling Partner API provides a documented public REST API,buildable-now,Amazon provides a well-documented API for developers,https://developer-docs.amazon.com/sp-api,high,True
50,Ecommerce,fanbasis,Failed to extract,,gated-partnership,Unknown due to extraction error,not-buildable,"Error during analysis: 1 validation error for AppResearchResult
self_serve
  Input should be 'self-serve', 'gated-paid', 'gated-approval' or 'gated-partnership' [type=literal_error, input_value='unknown', input_type=str]
    For further information visit https://errors.pydantic.dev/2.7/v/literal_error",,low,True
51,"Data, SEO and Scraping",DataForSEO,Provides data and insights for search engine optimization and web scraping,API key,self-serve,Has a documented public REST API,buildable-now,Clear documentation and API access,https://docs.dataforseo.com/,medium,True
52,"Data, SEO and Scraping",SE Ranking,SEO and competitor analysis tool,API key,self-serve,Public REST API available at seranking.com/api,buildable-now,API documentation is available,https://seranking.com/api,medium,True
53,"Data, SEO and Scraping",Ahrefs,"Ahrefs is an SEO tool and resource for backlink analysis, keyword research, and content optimization",API key,self-serve,Ahrefs has a documented public API,buildable-now,Ahrefs provides a public API for accessing its data and functionality,https://ahrefs.com/api,medium,True
54,"Data, SEO and Scraping",MrScraper,A web scraping tool for data extraction,API key,self-serve,No documented public REST/GraphQL API found,not-buildable,Lack of publicly available documentation and API information,,low,True
55,"Data, SEO and Scraping",Apify,"Apify is a platform for web scraping, data extraction, and automation",API key,self-serve,Apify has a documented public REST API,buildable-now,Apify provides a well-documented API and developer portal,https://docs.apify.com/,medium,True
56,"Data, SEO and Scraping",Firecrawl,A web scraping and data extraction tool,API key,self-serve,No documented public REST/GraphQL API found,buildable-with-friction,Lack of publicly available documentation and API information,,low,True
57,"Data, SEO and Scraping",Bright Data,"A web data platform for collecting, processing, and delivering public web data",API key,self-serve,Has a documented public API,buildable-now,Public API documentation available,https://brightdata.com/,medium,True
58,"Data, SEO and Scraping",Sherlock,A tool for hunting down social media profiles across social networks,API key,self-serve,"No documented public REST/GraphQL API, but has a GitHub repository with an open-source implementation",buildable-with-friction,Lack of clear documentation on API usage and authentication,https://github.com/sherlock-project/sherlock,medium,True
59,"Data, SEO and Scraping",Waterfall.io,Company and contact intelligence platform,API key,self-serve,No documented public REST/GraphQL API found,not-buildable,Lack of publicly available API documentation,,low,True
60,"Data, SEO and Scraping",Clay,Clay is a data platform for building custom data applications,API key,self-serve,Clay has a documented public API,buildable-now,Clay provides a public API and documentation,https://clay.com,low,True
61,"Developer, Infra and Data platforms",GitHub,A web-based platform for version control and collaboration on software development projects,"OAuth2, API key, Personal Access Token",self-serve,GitHub has a documented public REST API available at docs.github.com/rest,buildable-now,GitHub provides a well-documented public REST API,https://docs.github.com/rest,high,False
62,"Developer, Infra and Data platforms",Vercel,"Platform for building and deploying fast, scalable, and secure websites and applications","OAuth2, API key",self-serve,Vercel has a documented public REST API,buildable-now,Vercel provides a REST API for integration and automation,https://vercel.com/docs/rest-api,high,True
63,"Developer, Infra and Data platforms",Netlify,"A platform for building, deploying, and managing web applications","OAuth2, API key",self-serve,Netlify has a documented public REST API and GraphQL API,buildable-now,Netlify provides a well-documented API and supports common development workflows,https://docs.netlify.com/api/,high,False
64,"Developer, Infra and Data platforms",Cloudflare,"Cloudflare is a platform that provides security, performance, and reliability for websites and applications","OAuth2, API key",self-serve,Cloudflare has a documented public REST API,buildable-now,Cloudflare provides a well-documented API and has a developer portal,https://developers.cloudflare.com/api,high,True
65,"Developer, Infra and Data platforms",Supabase,"Supabase is an open-source alternative to Firebase, providing a PostgreSQL database, authentication, and real-time capabilities","OAuth2, API key",self-serve,Supabase has a documented public REST and GraphQL API,buildable-now,Supabase provides clear documentation and a public API,https://supabase.com/docs,high,False
66,"Developer, Infra and Data platforms",Neo4j,A graph database management system,"OAuth2, API key, Basic Auth",self-serve,Neo4j has a documented public Bolt and HTTP API,buildable-now,Well-documented API and developer resources available,https://neo4j.com/docs/api,high,False
67,"Developer, Infra and Data platforms",Snowflake,Cloud-based data warehousing platform for storing and analyzing data,"OAuth2, API key, Username/Password",self-serve,Public REST API available,buildable-now,Snowflake provides a well-documented public REST API,https://docs.snowflake.com/en/,medium,True
68,"Developer, Infra and Data platforms",MongoDB Atlas,"A cloud-based MongoDB service for building, deploying, and managing modern applications","OAuth2, API key",self-serve,Public REST API available,buildable-now,Well-documented API and developer resources,https://mongodb.com/docs/atlas/api,high,False
69,"Developer, Infra and Data platforms",Datadog,"Cloud-based monitoring and analytics platform for infrastructure, applications, and services","OAuth2, API key",self-serve,Datadog has a documented public REST API,buildable-now,Datadog provides a well-documented API and has a large community of developers,https://docs.datadoghq.com/,high,True
70,"Developer, Infra and Data platforms",Sentry,Error tracking and monitoring platform,"OAuth2, API key",self-serve,Public REST API available,buildable-now,Well-documented API and SDKs available,https://docs.sentry.io/api/,high,False
71,Productivity and Project Management,Notion,"A productivity and project management tool that allows users to create notes, tasks, and databases",OAuth2,self-serve,Notion has a documented public API,buildable-now,Notion provides a public API for developers to build integrations,https://developers.notion.com/,high,True
72,Productivity and Project Management,Airtable,A cloud-based database that allows users to create custom applications and workflows,"OAuth2, API key",self-serve,Airtable has a documented public REST API,buildable-now,Airtable provides a well-documented API and developer portal,https://airtable.com/developers,high,True
73,Productivity and Project Management,Linear,A project management and productivity tool for teams,"OAuth2, API key",self-serve,Linear has a documented public API,buildable-now,Linear provides API documentation for developers,https://developers.linear.app,medium,True
74,Productivity and Project Management,Jira,A project management and issue tracking tool,"OAuth2, API key, Basic Auth",self-serve,Jira has a documented public REST API,buildable-now,Jira has a well-documented API and developer portal,https://developer.atlassian.com/cloud/jira/platform/rest/,high,False
75,Productivity and Project Management,Asana,A project management platform to help teams stay organized and on track,"OAuth2, API key, Basic Auth",self-serve,Asana has a documented public REST API,buildable-now,Asana provides a well-documented API and supports common authentication methods,https://developers.asana.com/,high,False
76,Productivity and Project Management,Monday.com,A work operating system that helps teams manage projects and workflows,"OAuth2, API key",self-serve,Monday.com has a documented public REST API,buildable-now,Monday.com provides a public API and documentation for developers,https://developer.monday.com/,medium,True
77,Productivity and Project Management,ClickUp,A project management and team collaboration platform,"OAuth2, API key",self-serve,ClickUp has a documented public REST API,buildable-now,ClickUp provides a public API for integration,https://clickup.com/api,medium,True
78,Productivity and Project Management,Coda,A document editor that combines the flexibility of a document with the power of a spreadsheet and the interactivity of an app,OAuth2,self-serve,"Coda has a documented public API, with REST endpoints for accessing and manipulating documents",buildable-now,"Coda provides a public API and developer documentation, making it easy to integrate",https://coda.io/developers,high,True
79,Productivity and Project Management,Smartsheet,A cloud-based project management and team collaboration tool,"OAuth2, API key",self-serve,Smartsheet has a documented public REST API,buildable-now,Smartsheet provides a public API and documentation for developers,https://smartsheet.com/developers,high,True
80,Productivity and Project Management,Harvest,Time tracking and invoicing tool for businesses,"OAuth2, API key",self-serve,Public REST API available,buildable-now,API documentation is available at help.getharvest.com/api-v2,https://help.getharvest.com/api-v2/,high,False
81,Finance and Fintech,Stripe,Online payment processing system,"OAuth2, API key",self-serve,Public REST API available,buildable-now,Well-documented API and extensive developer resources,https://stripe.com/docs/api,high,True
82,Finance and Fintech,Plaid,Plaid is a financial services company that provides a platform for developers to build financial applications,"OAuth2, API key",self-serve,Plaid has a documented public REST API,buildable-now,Plaid provides clear documentation and API access,https://plaid.com/docs,high,True
83,Finance and Fintech,Binance,A cryptocurrency exchange and trading platform,"OAuth2, API key",self-serve,Public REST API available,buildable-now,Well-documented API available,https://binance-docs.github.io/,high,True
84,Finance and Fintech,Paygent Connect,Payment processing and integration solution,"OAuth2, API key",self-serve,Public REST API available through NMI,buildable-now,NMI-powered API available for integration,https://paygent.com,medium,True
85,Finance and Fintech,iPayX,Payment processing and fintech services,"OAuth2, API key",self-serve,No documented public REST/GraphQL API found,not-buildable,Lack of publicly available API documentation,,low,True
86,Finance and Fintech,QuickBooks,A financial management and accounting software,"OAuth2, API key",self-serve,Public REST API available,buildable-now,Well-documented API and developer portal,https://developer.intuit.com/,high,True
87,Finance and Fintech,Xero,Cloud-based accounting software for small businesses and their advisors,"OAuth2, API key",self-serve,Xero has a documented public REST API,buildable-now,Xero provides a public API and documentation for developers,https://developer.xero.com/,high,True
88,Finance and Fintech,Brex,Brex is a financial services company that provides corporate credit cards and cash management accounts,"OAuth2, API key",self-serve,Brex has a documented public API for developers to integrate with their services,buildable-now,Brex provides a developer portal with API documentation and guides,https://developer.brex.com/,medium,True
89,Finance and Fintech,Ramp,Financial management and payment platform,"OAuth2, API key",self-serve,Public REST API available,buildable-now,Public API documentation available,https://docs.ramp.com,medium,True
90,Finance and Fintech,PitchBook,PitchBook provides financial data and analytics for investment research,API key,gated-paid,PitchBook has a documented public API for accessing financial data,buildable-with-friction,Limited information available on public API documentation,,low,True
91,"AI, Research and Media-native",NotebookLM,A cloud-based AI research and media-native application,"OAuth2, API key",self-serve,Public REST API available through Google Cloud Gemini,buildable-now,Documentation and API access available through Google Cloud,,low,True
92,"AI, Research and Media-native",Otter AI,AI-powered tool for automated transcription and note-taking,"OAuth2, API key",self-serve,Otter AI has a documented public API for integration and development,buildable-now,Otter AI provides API documentation and developer resources,https://help.otter.ai/,medium,True
93,"AI, Research and Media-native",Fathom,AI-powered video analysis and research platform,"OAuth2, API key",self-serve,No documented public REST/GraphQL API found,not-buildable,Lack of publicly available API documentation,,low,True
94,"AI, Research and Media-native",Consensus,No description available,OAuth,gated-approval,No public API documentation found,not-buildable,No clear API documentation or evidence found,,low,True
95,"AI, Research and Media-native",Reducto,Document parsing AI tool,API key,self-serve,No documented public REST/GraphQL API found,buildable-with-friction,Lack of publicly available API documentation,,low,True
96,"AI, Research and Media-native",Devin,No description available,,gated-approval,No documented public API found,not-buildable,No documentation or evidence URL available,,low,True
97,"AI, Research and Media-native",higgsfield,Content suite for AI and media-native applications,,self-serve,No clear information on public REST/GraphQL API,not-buildable,Lack of clear documentation and API information,,low,True
98,"AI, Research and Media-native",Mermaid CLI,A command-line tool for generating diagrams and flowcharts from text via a JavaScript-based generation tool,,self-serve,"Mermaid CLI has a documented API, but the specifics are unclear without further documentation",buildable-with-friction,Lack of clear documentation on the Mermaid CLI API,https://github.com/mermaid-js/mermaid-cli,medium,True
99,"AI, Research and Media-native",YouTube Transcript,Automates transcription of YouTube videos,"OAuth2, API key",self-serve,Public REST API available,buildable-now,API documentation is available on transcriptapi.com,https://transcriptapi.com/,medium,True
100,"AI, Research and Media-native",Grain,Meeting notes and collaboration tool,OAuth2,self-serve,No documented public REST/GraphQL API found,not-buildable,Lack of publicly available API documentation,,low,True
